,AAPL,MSI,SBUX
392,102.5,59.4,38.905
393,103.3,59.01,38.74
394,98.94,58.94,38.395
395,98.12,58.98,38.58
396,98.97,58.89,38.975
397,98.36,61.02,38.835
398,97.99,61.08,38.56
399,101.0,61.22,38.605
400,101.43,61.22,38.06
401,101.66,61.54,37.735
402,101.63,61.42,37.46
403,100.86,61.69,37.545
404,101.58,61.91,37.67
405,101.79,62.04,37.865
406,100.96,61.88,38.035
407,101.06,61.68,37.3
408,102.64,61.57,36.9775
409,101.75,61.8,37.66
410,97.87,62.24,37.06
411,100.75,63.42,37.585
412,100.11,63.18,37.635
413,100.75,63.28,37.73
414,99.18,62.34,37.305
415,99.9,61.03,37.225
416,99.62,61.3,37.945
417,99.62,61.5,37.5725
418,98.75,60.47,37.025
419,100.8,61.58,37.63
420,101.02,60.46,37.24
421,100.73,59.05,37.23
422,99.81,58.5,36.095
423,98.75,58.73,36.37
424,97.54,59.32,36.19
425,96.26,59.18,36.32
426,97.67,60.79,36.77
427,99.76,61.25,37.35
428,102.47,62.39,37.18
429,102.99,61.63,37.3
430,104.83,62.25,37.42
431,105.22,62.57,37.905
432,105.11,62.8,37.985
433,106.74,64.06,38.525
434,107.34,63.94,38.27
435,106.98,63.7,38.66
436,108.0,64.5,37.78
437,109.4,64.68,38.05
438,108.6,66.76,38.355
439,108.86,64.46,38.33
440,108.7,63.42,38.725
441,109.01,64.14,38.895
442,108.83,63.94,38.825
443,109.7,63.55,38.865
444,111.25,63.7,38.925
445,112.82,64.43,38.945
446,114.18,65.25,39.06
447,113.99,65.4,38.915
448,115.47,66.0,38.785
449,114.67,65.94,38.91
450,116.31,65.66,39.1
451,116.47,65.27,39.88
452,118.625,65.81,40.26
453,117.6,65.6,40.105
454,119.0,65.56,39.85
455,118.93,65.72,40.605
456,115.07,65.44,40.425
457,114.63,65.51,40.185
458,115.93,65.32,40.235
459,115.49,65.2,40.655
460,115.0,65.0,41.785
461,112.4,65.27,41.9
462,114.12,65.29,41.515
463,111.95,63.52,41.33
464,111.62,63.29,41.56
465,109.73,62.31,41.625
466,108.225,61.91,40.445
467,106.745,61.73,39.565
468,109.41,63.99,40.2175
469,112.65,65.11,40.015
470,111.78,65.5,39.72
471,112.94,66.53,40.27
472,112.54,66.93,40.715
473,112.01,67.34,40.635
474,113.99,67.49,40.915
475,113.91,67.87,41.19
476,112.52,67.53,40.895
477,110.38,67.08,41.025
478,109.33,66.51,40.72
479,106.25,65.06,39.94
480,106.26,64.51,39.615
481,107.75,64.43,40.59
482,111.89,65.43,41.245
483,112.01,65.11,39.895
484,109.25,64.35,40.115
485,110.22,64.11,40.435
486,109.8,63.76,40.21
487,106.82,63.41,39.79
488,105.99,64.05,40.305
489,108.72,64.02,40.6125
490,109.55,64.31,40.645
491,112.4,65.36,41.37
492,112.98,65.48,44.11
493,113.1,65.71,44.06
494,109.14,64.94,44.17
495,115.31,63.84,43.7825
496,118.9,63.83,44.525
497,117.16,62.41,43.765
498,118.63,62.81,43.995
499,118.65,64.01,44.245
500,119.56,63.94,44.35
501,119.94,64.0,44.82
502,118.93,64.66,44.5
503,119.72,67.78,44.41
504,122.02,68.22,45.59
505,124.88,68.57,45.395
506,126.46,70.0,45.9125
507,127.08,69.91,45.79
508,127.83,69.79,46.015
509,128.715,69.12,46.5
510,128.45,69.03,46.585
511,129.495,69.83,46.755
512,133.0,68.63,46.79
513,132.17,68.53,46.725
514,128.79,68.02,47.13
515,130.415,68.47,47.275
516,128.46,67.94,46.7425
517,129.09,68.89,47.1125
518,129.36,68.14,47.0
519,128.54,67.64,46.53
520,126.41,67.93,46.815
521,126.6,66.82,46.1075
522,127.14,66.57,46.52
523,124.51,65.33,46.09
524,122.24,65.31,45.71
525,124.45,64.96,46.69
526,123.59,64.8,46.645
527,124.95,65.86,47.0225
528,127.04,65.32,47.1925
529,128.47,66.65,47.92
530,127.495,66.34,48.88
531,125.9,66.83,48.73
532,127.21,66.52,48.685
533,126.69,66.23,48.9575
534,123.38,65.35,47.885
535,124.24,65.42,47.54
536,123.25,65.38,47.535
537,126.37,66.39,47.99
538,124.43,66.67,47.35
539,124.25,66.67,46.51
540,125.32,62.51,47.195
541,127.35,61.48,47.26
542,126.01,61.99,47.035
543,125.6,62.42,47.615
544,126.56,62.32,47.96
545,127.1,62.53,48.17
546,126.85,61.97,48.5
547,126.3,61.91,48.3
548,126.78,61.82,48.14
549,126.17,61.86,48.245
550,124.75,60.68,47.62
551,127.6,61.16,47.97
552,126.91,61.43,48.37
553,128.62,61.59,48.335
554,129.67,60.84,49.43
555,130.28,60.57,51.84
556,132.65,60.98,50.87
557,130.56,60.69,50.61
558,128.64,59.74,50.65
559,125.15,59.75,49.58
560,128.95,60.28,50.29
561,128.7,60.68,50.445
562,125.8,58.59,49.405
563,125.01,58.75,48.93
564,125.26,60.01,49.35
565,127.62,60.59,49.78
566,126.32,59.8,49.5
567,125.865,59.42,49.71
568,126.01,59.25,49.59
569,128.95,59.79,50.555
570,128.77,59.3,50.8
571,130.19,60.12,51.18
572,130.07,59.8,51.42
573,130.06,59.8,51.03
574,131.39,59.79,51.33
575,132.54,59.66,51.48
576,129.62,59.11,50.84
577,132.045,59.06,51.59
578,131.78,59.63,51.81
579,130.28,59.0,51.96
580,130.535,59.65,52.22
581,129.96,59.19,51.73
582,130.12,59.48,52.12
583,129.36,58.8,51.72
584,128.65,58.61,52.19
585,127.8,58.08,51.53
586,127.42,57.9,51.54
587,128.88,58.49,52.69
588,128.59,58.55,52.49
589,127.17,57.65,52.63
590,126.92,57.95,52.27
591,127.6,58.18,52.965
592,127.3,57.97,53.24
593,127.88,58.39,54.11
594,126.6,58.05,53.93
595,127.61,59.22,53.9
596,127.03,59.12,54.115
597,128.11,58.29,53.71
598,127.5,58.35,54.07
599,126.75,58.38,54.62
600,124.53,57.14,53.55
601,125.425,57.34,53.615
602,126.6,57.6,53.89
603,126.44,57.51,54.24
604,126.0,57.22,54.305
605,125.69,57.49,54.375
606,122.57,56.79,53.39
607,120.07,56.94,54.05
608,123.28,57.48,54.57
609,125.66,58.43,55.7
610,125.61,58.6,55.75
611,126.82,58.89,55.34
612,128.51,59.29,55.74
613,129.62,58.85,55.69
614,132.07,59.4,56.21
615,130.75,59.57,56.2
616,125.22,59.35,56.69
617,125.16,58.85,56.56
618,124.5,59.5,57.29
619,122.77,58.71,56.98
620,123.38,59.11,57.14
621,122.99,59.58,57.51
622,122.37,59.86,58.06
623,121.3,60.16,57.93
624,118.44,59.76,58.19
625,114.64,60.22,58.7
626,115.4,64.04,59.01
627,115.13,63.8,57.23
628,115.52,64.19,57.2
629,119.72,63.99,56.27
630,113.49,63.35,56.35
631,115.24,64.6,56.38
632,115.15,64.34,56.85
633,115.96,64.98,57.1
634,117.16,65.27,57.74
635,116.5,65.77,57.83
636,115.01,65.35,57.59
637,112.65,63.89,55.81
638,105.76,62.45,52.84
639,103.12,60.79,50.34
640,103.74,60.44,51.09
641,109.69,63.14,53.96
642,112.92,64.29,55.95
643,113.29,64.55,55.63
644,112.76,64.82,54.71
645,107.72,63.85,53.5
646,112.34,64.72,55.26
647,110.37,65.11,54.69
648,109.27,66.31,54.28
649,112.31,69.61,55.21
650,110.15,68.3,54.69
651,112.57,69.09,55.37
652,114.21,67.08,56.53
653,115.31,66.84,56.29
654,116.28,67.15,56.91
655,116.41,67.47,57.26
656,113.92,67.03,57.28
657,113.45,67.09,56.84
658,115.21,67.05,57.54
659,113.4,66.58,57.12
660,114.32,67.8,57.79
661,115.0,67.91,58.37
662,114.71,69.2,57.99
663,112.44,67.93,55.77
664,109.06,67.45,55.72
665,110.3,68.38,56.84
666,109.58,67.76,57.48
667,110.38,68.4,58.08
668,110.78,69.75,59.04
669,111.31,69.19,58.69
670,110.78,69.79,58.78
671,109.5,69.5,59.46
672,112.12,68.78,60.07
673,111.6,69.43,60.54
674,111.79,69.04,60.16
675,110.21,68.7,58.82
676,111.86,69.27,59.69
677,111.04,69.26,59.93
678,111.73,69.03,60.97
679,113.77,69.48,60.88
680,113.76,69.47,60.53
681,115.5,70.48,61.49
682,119.08,70.48,62.61
683,115.28,70.05,63.43
684,114.55,69.96,62.71
685,119.27,70.37,63.51
686,120.53,70.13,62.5
687,119.5,69.97,62.57
688,121.18,70.73,62.24
689,122.57,71.36,62.8
690,122.0,65.24,61.96
691,120.92,67.4,62.28
692,121.06,68.01,61.97
693,120.57,68.2,61.34
694,116.77,68.34,62.18
695,116.11,70.02,61.87
696,115.72,69.44,61.07
697,112.34,69.03,59.74
698,114.175,70.02,60.68
699,113.69,71.05,60.55
700,117.29,71.98,61.8
701,118.78,72.45,61.46
702,119.3,72.19,61.99
703,117.75,72.24,62.64
704,118.88,71.96,61.96
705,118.03,71.83,62.19
706,117.81,72.02,62.18
707,118.3,71.78,61.39
708,117.34,72.05,61.37
709,116.28,71.89,61.22
710,115.2,71.08,59.55
711,119.03,72.11,61.75
712,118.28,70.38,61.89
713,118.23,69.75,62.16
714,115.62,69.31,61.18
715,116.17,69.37,61.87
716,113.18,68.61,59.82
717,112.48,68.14,59.92
718,110.49,69.13,59.98
719,111.34,69.52,60.35
720,108.98,68.56,59.515
721,106.03,67.58,58.62
722,107.33,68.03,59.54
723,107.23,68.87,59.99
724,108.61,69.21,60.34
725,108.03,69.06,60.32
726,106.82,69.18,60.19
727,108.74,69.64,61.13
728,107.32,69.3,60.82
729,105.26,68.45,60.03
730,105.35,67.13,58.26
731,102.71,66.39,58.65
732,100.7,65.43,58.13
733,96.45,64.11,56.69
734,96.96,64.25,56.63
735,98.53,64.37,57.82
736,99.96,64.91,59.46
737,97.39,63.37,57.87
738,99.52,63.11,58.98
739,97.13,61.59,58.0
740,96.66,61.13,58.55
741,96.79,60.36,56.92
